TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5843/TAT/HO/08/2022|20087298|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20096236|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20096249|01/09/2022|30/09/2022|HBS=Y
5869/TAT/HO/09/2022|20120589|03/09/2022|30/09/2022|
5867/TAT/HO/09/2022|20120589|03/09/2022|30/09/2022|
5868/TAT/HO/09/2022|20120589|03/09/2022|30/09/2022|
5870/TAT/HO/09/2022|20120589|03/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124569|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124570|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124571|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124572|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124573|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124574|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124578|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124579|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124580|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124581|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124586|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124587|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124588|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124589|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124590|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124591|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124592|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124593|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124594|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124595|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124596|01/09/2022|30/09/2022|
5815/TAT/HO/08/2022|20124597|01/09/2022|30/09/2022|
